name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
KFC,75280,57,Sahid Nagar,4.2,"['American', 'Fast Food']",40000,38,38,38,Pal Height Mall,,,,2200,
MAA SIDHESWORI HOTEL,330503,57,Patia,--,"['Punjabi', 'Chinese', 'Indian']",20000,38,38,38,Patia,,,,2200,
BIRIYANI NATION,330298,57,Patia,--,['Biryani'],20000,38,38,38,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
BREW XPRESZ,305733,57,Sahid Nagar,3.7,"['Pizzas', 'Pastas', 'Beverages']",30000,39,39,39,"Jaydev Vihar , near Pal Heights",30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
TASTE OF GRANNY,343754,57,Patia,--,"['Chinese', 'Biryani', 'Desserts']",30000,39,39,39,Patia,,,,2200,
Puri Howrah Express,112434,57,Sahid Nagar,--,"['Bengali', 'Indian', 'Chinese', 'Biryani']",30000,39,39,39,Kharvela Nagar,,,,2700,
Mohan's Handi Biriyani,115589,57,Rasulgarh,3.3,"['Indian', 'Chinese', 'Tandoor']",20000,40,40,40,Rasulgarh Square,,,,2700,
BAPA PUA HOTEL,317325,57,Nayapalli,3.7,"['Snacks', 'Fast Food', 'Indian']",20000,40,40,40,Prabhakar Rd,,,,2700,
Garam Masala,73598,57,Chandrashekarpur,4.2,"['Indian', 'Chinese', 'Tandoor', 'Biryani']",25000,40,40,40,above punjab national bank,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
BIRIYANI NATION,307358,57,Chandrashekarpur,--,"['Biryani', 'Indian']",30000,40,40,40,Chandrashekarpur,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
BIRYANI MOGHULS,334002,57,Patia,--,"['Indian', 'Biryani', 'Mughlai']",50000,40,40,40,Patia,40% off on all orders,Percentage,RESTAURANT,2700,
Refresh Live Cafe,121569,57,Nayapalli,3.9,"['Cafe', 'Italian', 'Chinese']",25000,41,41,41,Nayapalli,,,,2700,
Refresh Live,84977,57,Nayapalli,4,"['Continental', 'Chinese']",20000,41,41,41,ID Market,,,,2700,
CHANCELLOR PREMIUM,338567,57,Sahid Nagar,--,"['Indian', 'Biryani', 'Chinese', 'Seafood']",20000,41,41,41,Sahid Nagar,,,,2700,
PERSIAN TALES ( GRILL & GYRO ),339871,57,Patia,--,"['Fast Food', 'Indian', 'Pizzas', 'Seafood', 'Desserts']",40000,41,41,41,Patia,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
THE TASTE DESTINATION,337273,57,Patia,--,"['Chinese', 'Indian']",30000,41,41,41,Patia,,,,2700,
PRIYA HOTEL AND RESTAURANT,111471,57,Sahid Nagar,3.7,"['North Indian', 'Chinese']",15000,42,42,42,Nayapalli,40% off on orders above ₹139,Percentage,RESTAURANT,2700,
Maa Dakshina Kali Hotel,112432,57,Nayapalli,4,"['Indian', 'Chinese', 'Tandoor']",20000,42,42,42,Ekamra Village,30% off on all orders,Percentage,RESTAURANT,2700,
NANAA DHABA,305104,57,Patia,4.1,"['Indian', 'Thalis', 'Seafood', 'Oriya', 'Tandoor']",20000,42,42,42,"Housing Board Colony, Chandrasekharpur",40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
BURGER & FRIES,337365,57,Sahid Nagar,--,['Indian'],30000,42,42,42,Sahid Nagar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
HOTEL ODISHA INTERNATIONAL,297651,57,Sahid Nagar,--,['North Indian'],30000,42,42,42,Sahid Nagar,,,,2700,
FOODBYSTEP,343673,57,Sahid Nagar,--,['Indian'],25000,42,42,42,Sahid Nagar,,,,2700,
THE FOODBERRY,340986,57,Patia,--,"['Biryani', 'Chinese', 'Indian']",20000,42,42,42,Patia,,,,3200,
Biriyani Box,76135,57,Sahid Nagar,4,"['Biryani', 'Kebabs', 'Fast Food', 'Indian', 'Desserts']",30000,43,43,43,Sahid Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Tasty Momos,211063,57,Rasulgarh,4,['Chinese'],10000,43,43,43,Rasulgarh,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
ASALI DHABA,297513,57,Sahid Nagar,4.1,"['Indian', 'Tandoor']",20000,43,43,43,kharavela nagar,35% off on orders above ₹150,Percentage,RESTAURANT,2700,
Hot & Tasty foods,334404,57,Patia,--,"['Chinese', 'Indian', 'Tandoor']",25000,43,43,43,Patia,,,,3200,
pizza cheesa,233517,57,Patia,--,"['Pizzas', 'Fast Food', 'Pastas']",20000,43,43,43,Patia,,,,3200,
THE INDIAN SAMOSA,297626,57,Patia,--,['Indian'],20000,43,43,43,Patia,,,,3200,
Mr. Paratha,295309,57,Patia,--,"['Indian', 'Chinese']",20000,43,43,43,Patia,,,,3200,
froot-e-lite,100313,57,Sahid Nagar,3,"['Healthy Food', 'Salads', 'Juices']",25000,44,44,44,Master Canteen,,,,2700,
Hotel Charlie,115008,57,Sahid Nagar,3.8,"['Indian', 'Chinese']",20000,44,44,44,Sahid Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Chancellor Restaurant,81808,57,Sahid Nagar,4,"['Indian', 'Chinese', 'Biryani']",30000,44,44,44,Sahid Nagar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Yo Panda,295735,57,Old BBSR,4.2,"['Fast Food', 'Chinese']",20000,44,44,44,Sahid Nagar,10% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
Biriyanisthan,87317,57,Chandrashekarpur,3.4,"['Indian', 'Biryani']",30000,45,45,45,Near Shree Residency,40% off above Rs 139,Percentage,RESTAURANT,0,
Sher-E-Punjab,178337,57,Sahid Nagar,3.5,"['Biryani', 'Chinese', 'Indian']",15000,45,45,45,MADHUSUDAN NAGAR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
INDIAN BIRIYANI KING,296283,57,Chandrashekarpur,3.8,"['Biryani', 'Indian', 'Chinese', 'Combo', 'Tandoor', 'Fast Food']",20000,45,45,45,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Adda Unplugged,222436,57,Old BBSR,3.9,"['Chinese', 'Continental', 'Indian', 'Mexican']",30000,45,45,45,Old BBSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Hotel Tilotama,112408,57,Rasulgarh,3.9,"['Indian', 'Chinese']",20000,45,45,45,GGP Colony Square,,,,2700,
Pipul Restaurant,102618,57,Rasulgarh,4.1,"['Indian', 'Chinese']",25000,45,45,45,Mancheswar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
ZINGIBER,293926,57,Sahid Nagar,4.2,"['South Indian', 'Chinese', 'Fast Food']",50000,45,45,45,Sahid Nagar,,,,2700,
TASTY ROYAL FOOD,327375,57,Sahid Nagar,--,['Chinese'],20000,45,45,45,Sahid Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
HOTEL JAI RADISSION ,296281,57,Chandrashekarpur,3.7,"['Biryani', 'North Indian', 'Fast Food', 'Continental']",20000,46,46,46,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
